"location"	"Joinpoint Model"	"AAPC Index"	"Start Obs"	"End Obs"	"AAPC"	"AAPC C.I. Low"	"AAPC C.I. High"	"Statistically Significant (0=No  1=Yes)"	"Test Statistic"	"P-Value"
"Ireland"	3	"Full Range"	1990.000	2021.000	-6.812	-7.624	-5.993	1	-15.804	0.000
"Israel"	4	"Full Range"	1990.000	2021.000	-3.282	-4.731	-1.811	1	-4.333	0.000
"Italy"	4	"Full Range"	1990.000	2021.000	-4.247	-5.220	-3.264	1	-8.330	0.000
"Jamaica"	3	"Full Range"	1990.000	2021.000	-3.155	-4.505	-1.787	1	-4.479	0.000
"Japan"	2	"Full Range"	1990.000	2021.000	-3.799	-4.393	-3.202	1	-12.261	0.000
"Jordan"	5	"Full Range"	1990.000	2021.000	-3.372	-3.681	-3.063	1	-21.010	0.000
"Kazakhstan"	5	"Full Range"	1990.000	2021.000	-4.906	-5.872	-3.930	1	-9.658	0.000
"Kenya"	3	"Full Range"	1990.000	2021.000	-2.541	-2.721	-2.360	1	-27.252	0.000
"Kiribati"	5	"Full Range"	1990.000	2021.000	-3.324	-3.554	-3.094	1	-27.874	0.000
"Kuwait"	5	"Full Range"	1990.000	2021.000	-0.836	-3.098	1.479	0	-0.713	0.476
"Kyrgyzstan"	3	"Full Range"	1990.000	2021.000	-6.484	-6.974	-5.990	1	-24.965	0.000
"Lao People's Democratic Republic"	1	"Full Range"	1990.000	2021.000	-5.748	-5.907	-5.590	1	-68.991	0.000
"Latvia"	3	"Full Range"	1990.000	2021.000	-3.850	-5.452	-2.221	1	-4.581	0.000
"Lebanon"	4	"Full Range"	1990.000	2021.000	-2.298	-2.724	-1.869	1	-10.418	0.000
"Lesotho"	3	"Full Range"	1990.000	2021.000	-0.427	-0.808	-0.045	1	-2.190	0.029
"Liberia"	2	"Full Range"	1990.000	2021.000	-4.999	-5.675	-4.317	1	-14.059	0.000
"Libya"	5	"Full Range"	1990.000	2021.000	-1.644	-2.672	-0.606	1	-3.093	0.002
"Lithuania"	3	"Full Range"	1990.000	2021.000	-3.533	-4.994	-2.050	1	-4.620	0.000
"Luxembourg"	2	"Full Range"	1990.000	2021.000	-5.820	-6.355	-5.282	1	-20.646	0.000
"Madagascar"	3	"Full Range"	1990.000	2021.000	-2.855	-3.072	-2.637	1	-25.386	0.000
"Malawi"	4	"Full Range"	1990.000	2021.000	-3.459	-3.858	-3.060	1	-16.691	0.000
"Malaysia"	2	"Full Range"	1990.000	2021.000	-1.394	-2.038	-0.747	1	-4.203	0.000
"Maldives"	2	"Full Range"	1990.000	2021.000	-8.906	-9.364	-8.447	1	-36.329	0.000
"Mali"	3	"Full Range"	1990.000	2021.000	-2.754	-3.016	-2.491	1	-20.265	0.000
"Malta"	3	"Full Range"	1990.000	2021.000	-3.268	-4.470	-2.051	1	-5.208	0.000
"Marshall Islands"	5	"Full Range"	1990.000	2021.000	-1.729	-1.921	-1.536	1	-17.439	0.000
"Mauritania"	1	"Full Range"	1990.000	2021.000	-3.189	-3.343	-3.034	1	-39.765	0.000
"Mauritius"	5	"Full Range"	1990.000	2021.000	-2.973	-4.144	-1.787	1	-4.869	0.000
"Mexico"	4	"Full Range"	1990.000	2021.000	-5.496	-6.166	-4.820	1	-15.550	0.000
"Micronesia (Federated States of)"	3	"Full Range"	1990.000	2021.000	-3.903	-4.077	-3.728	1	-42.955	0.000
"Monaco"	4	"Full Range"	1990.000	2021.000	-1.461	-1.865	-1.056	1	-7.025	0.000
"Mongolia"	5	"Full Range"	1990.000	2021.000	-8.029	-8.900	-7.149	1	-17.239	0.000
"Montenegro"	2	"Full Range"	1990.000	2021.000	-4.148	-4.588	-3.707	1	-18.076	0.000
"Morocco"	5	"Full Range"	1990.000	2021.000	-5.776	-5.935	-5.618	1	-69.263	0.000
"Mozambique"	4	"Full Range"	1990.000	2021.000	-3.253	-3.710	-2.793	1	-13.686	0.000
"Myanmar"	4	"Full Range"	1990.000	2021.000	-5.796	-5.939	-5.653	1	-76.964	0.000
"Namibia"	3	"Full Range"	1990.000	2021.000	-2.798	-3.127	-2.467	1	-16.389	0.000
"Nauru"	5	"Full Range"	1990.000	2021.000	-1.020	-1.327	-0.712	1	-6.467	0.000
"Nepal"	4	"Full Range"	1990.000	2021.000	-6.271	-6.421	-6.121	1	-79.202	0.000
"Netherlands"	4	"Full Range"	1990.000	2021.000	-3.955	-5.159	-2.735	1	-6.265	0.000
"New Zealand"	2	"Full Range"	1990.000	2021.000	-5.121	-7.002	-3.203	1	-5.147	0.000
"Nicaragua"	1	"Full Range"	1990.000	2021.000	-6.084	-6.518	-5.648	1	-26.554	0.000
"Niger"	3	"Full Range"	1990.000	2021.000	-4.365	-4.730	-3.999	1	-22.876	0.000
"Nigeria"	4	"Full Range"	1990.000	2021.000	-3.447	-3.648	-3.245	1	-32.997	0.000
"Niue"	3	"Full Range"	1990.000	2021.000	-2.051	-3.122	-0.968	1	-3.694	0.000
"North Macedonia"	2	"Full Range"	1990.000	2021.000	-7.225	-7.766	-6.681	1	-25.130	0.000
"Northern Mariana Islands"	3	"Full Range"	1990.000	2021.000	-1.385	-1.972	-0.795	1	-4.578	0.000
"Norway"	4	"Full Range"	1990.000	2021.000	-7.011	-9.108	-4.866	1	-6.247	0.000
"Oman"	2	"Full Range"	1990.000	2021.000	-3.305	-3.749	-2.859	1	-14.308	0.000
"Pakistan"	2	"Full Range"	1990.000	2021.000	-3.352	-3.803	-2.899	1	-14.291	0.000
"Palau"	4	"Full Range"	1990.000	2021.000	-1.859	-2.843	-0.865	1	-3.649	0.000
"Palestine"	3	"Full Range"	1990.000	2021.000	-3.488	-3.768	-3.207	1	-23.964	0.000
"Panama"	1	"Full Range"	1990.000	2021.000	-4.566	-4.959	-4.171	1	-22.186	0.000
"Papua New Guinea"	4	"Full Range"	1990.000	2021.000	-2.430	-2.693	-2.166	1	-17.833	0.000
"Paraguay"	2	"Full Range"	1990.000	2021.000	-4.767	-5.367	-4.163	1	-15.148	0.000
"Peru"	1	"Full Range"	1990.000	2021.000	-5.458	-5.949	-4.965	1	-21.136	0.000
"Philippines"	3	"Full Range"	1990.000	2021.000	-3.276	-3.541	-3.011	1	-23.792	0.000
"Poland"	5	"Full Range"	1990.000	2021.000	-1.724	-2.925	-0.507	1	-2.770	0.006
"Portugal"	5	"Full Range"	1990.000	2021.000	-4.780	-6.172	-3.368	1	-6.519	0.000
"Puerto Rico"	3	"Full Range"	1990.000	2021.000	-3.622	-4.502	-2.734	1	-7.882	0.000
"Qatar"	5	"Full Range"	1990.000	2021.000	-3.822	-4.520	-3.120	1	-10.499	0.000
"Republic of Korea"	5	"Full Range"	1990.000	2021.000	-3.118	-3.257	-2.979	1	-43.311	0.000
"Republic of Moldova"	5	"Full Range"	1990.000	2021.000	-5.132	-6.758	-3.478	1	-5.973	0.000
"Romania"	4	"Full Range"	1990.000	2021.000	-5.814	-6.614	-5.006	1	-13.754	0.000
"Russian Federation"	5	"Full Range"	1990.000	2021.000	-4.228	-5.729	-2.703	1	-5.358	0.000
"Rwanda"	3	"Full Range"	1990.000	2021.000	-4.523	-5.062	-3.981	1	-16.029	0.000
"Saint Kitts and Nevis"	2	"Full Range"	1990.000	2021.000	-2.548	-3.430	-1.658	1	-5.565	0.000
"Saint Lucia"	3	"Full Range"	1990.000	2021.000	-2.660	-3.268	-2.048	1	-8.434	0.000
"Saint Vincent and the Grenadines"	3	"Full Range"	1990.000	2021.000	-1.640	-2.141	-1.136	1	-6.340	0.000
"Samoa"	3	"Full Range"	1990.000	2021.000	-2.535	-2.686	-2.385	1	-32.601	0.000
"San Marino"	4	"Full Range"	1990.000	2021.000	-6.016	-6.357	-5.674	1	-33.433	0.000
"Sao Tome and Principe"	3	"Full Range"	1990.000	2021.000	-4.152	-4.683	-3.618	1	-14.961	0.000
"Saudi Arabia"	4	"Full Range"	1990.000	2021.000	-3.189	-3.343	-3.035	1	-39.881	0.000
"Senegal"	2	"Full Range"	1990.000	2021.000	-3.033	-3.462	-2.603	1	-13.633	0.000
"Serbia"	5	"Full Range"	1990.000	2021.000	-5.162	-6.625	-3.677	1	-6.686	0.000
"Seychelles"	3	"Full Range"	1990.000	2021.000	-1.805	-2.364	-1.243	1	-6.258	0.000
"Sierra Leone"	4	"Full Range"	1990.000	2021.000	-3.773	-4.469	-3.071	1	-10.379	0.000
"Singapore"	4	"Full Range"	1990.000	2021.000	-4.531	-5.899	-3.142	1	-6.294	0.000
"Slovakia"	5	"Full Range"	1990.000	2021.000	-5.024	-5.565	-4.480	1	-17.687	0.000
"Slovenia"	5	"Full Range"	1990.000	2021.000	-4.902	-6.345	-3.436	1	-6.440	0.000
"Solomon Islands"	4	"Full Range"	1990.000	2021.000	-2.019	-2.267	-1.771	1	-15.774	0.000
"Somalia"	4	"Full Range"	1990.000	2021.000	-2.351	-2.606	-2.095	1	-17.846	0.000
"South Africa"	3	"Full Range"	1990.000	2021.000	-3.142	-3.510	-2.772	1	-16.409	0.000
"South Sudan"	5	"Full Range"	1990.000	2021.000	-1.452	-1.955	-0.947	1	-5.603	0.000
"Spain"	5	"Full Range"	1990.000	2021.000	-4.998	-6.179	-3.802	1	-8.034	0.000
"Sri Lanka"	2	"Full Range"	1990.000	2021.000	-4.443	-4.969	-3.914	1	-16.139	0.000
"Sudan"	5	"Full Range"	1990.000	2021.000	-6.472	-6.773	-6.171	1	-40.782	0.000
"Suriname"	5	"Full Range"	1990.000	2021.000	-2.746	-3.216	-2.274	1	-11.262	0.000
"Sweden"	2	"Full Range"	1990.000	2021.000	-7.394	-8.318	-6.460	1	-15.003	0.000
"Switzerland"	5	"Full Range"	1990.000	2021.000	-6.821	-8.483	-5.129	1	-7.695	0.000
"Syrian Arab Republic"	5	"Full Range"	1990.000	2021.000	-3.454	-4.451	-2.446	1	-6.635	0.000
"Taiwan (Province of China)"	2	"Full Range"	1990.000	2021.000	-3.123	-4.163	-2.072	1	-5.763	0.000
"Tajikistan"	5	"Full Range"	1990.000	2021.000	-3.884	-4.160	-3.607	1	-26.969	0.000
"Thailand"	4	"Full Range"	1990.000	2021.000	-2.072	-2.403	-1.740	1	-12.139	0.000
"Timor-Leste"	3	"Full Range"	1990.000	2021.000	-5.125	-5.411	-4.838	1	-34.155	0.000
"Togo"	2	"Full Range"	1990.000	2021.000	-2.269	-2.435	-2.102	1	-26.385	0.000
"Tokelau"	1	"Full Range"	1990.000	2021.000	0.611	-0.852	2.095	0	0.815	0.415
"Tonga"	5	"Full Range"	1990.000	2021.000	-2.677	-2.930	-2.424	1	-20.437	0.000
"Trinidad and Tobago"	5	"Full Range"	1990.000	2021.000	-2.736	-3.547	-1.919	1	-6.497	0.000
"Tunisia"	5	"Full Range"	1990.000	2021.000	-4.971	-5.443	-4.496	1	-20.051	0.000
"Turkmenistan"	5	"Full Range"	1990.000	2021.000	-3.797	-4.955	-2.626	1	-6.267	0.000
"Tuvalu"	4	"Full Range"	1990.000	2021.000	-7.762	-8.051	-7.473	1	-50.540	0.000
"Türkiye"	5	"Full Range"	1990.000	2021.000	-6.166	-6.728	-5.600	1	-20.748	0.000
"Uganda"	4	"Full Range"	1990.000	2021.000	-2.789	-3.123	-2.454	1	-16.100	0.000
"Ukraine"	4	"Full Range"	1990.000	2021.000	-2.342	-3.951	-0.707	1	-2.798	0.005
"United Arab Emirates"	5	"Full Range"	1990.000	2021.000	-3.064	-4.865	-1.228	1	-3.251	0.001
"United Kingdom"	5	"Full Range"	1990.000	2021.000	-4.133	-5.894	-2.339	1	-4.463	0.000
"United Republic of Tanzania"	3	"Full Range"	1990.000	2021.000	-4.261	-4.533	-3.987	1	-29.933	0.000
"United States Virgin Islands"	3	"Full Range"	1990.000	2021.000	-3.051	-3.689	-2.409	1	-9.205	0.000
"United States of America"	1	"Full Range"	1990.000	2021.000	-5.224	-5.773	-4.672	1	-18.097	0.000
"Uruguay"	3	"Full Range"	1990.000	2021.000	-3.046	-3.836	-2.249	1	-7.409	0.000
"Uzbekistan"	2	"Full Range"	1990.000	2021.000	-3.938	-4.245	-3.630	1	-24.575	0.000
"Vanuatu"	5	"Full Range"	1990.000	2021.000	-2.184	-2.636	-1.730	1	-9.339	0.000
"Venezuela (Bolivarian Republic of)"	2	"Full Range"	1990.000	2021.000	-2.869	-3.493	-2.240	1	-8.845	0.000
"Viet Nam"	5	"Full Range"	1990.000	2021.000	-6.035	-6.242	-5.828	1	-55.450	0.000
"Yemen"	4	"Full Range"	1990.000	2021.000	-5.103	-5.428	-4.776	1	-29.880	0.000
"Zambia"	5	"Full Range"	1990.000	2021.000	-3.935	-4.299	-3.569	1	-20.704	0.000
"Zimbabwe"	4	"Full Range"	1990.000	2021.000	-0.031	-0.448	0.387	0	-0.148	0.883
